Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura
Regressão Logística;0.39;0.4733782841199721;0.7547729379054681;0.5818389654926056;8602;0.6132458829400442
Regressão Logística;0.4;0.4782925054571914;0.7310472659870251;0.5782567260464775;8246;0.5878662579311328
Regressão Logística;0.41;0.483111954459203;0.7078776645041706;0.5742857142857143;7905;0.563555999144507
Regressão Logística;0.42;0.48956682514527206;0.6871177015755329;0.5717590807434256;7572;0.5398160690097669
Regressão Logística;0.43;0.4943244739756368;0.6619091751621872;0.5659719470639512;7224;0.5150067726527412
Regressão Logística;0.44;0.4987679373822293;0.6378127896200185;0.5597852611029771;6899;0.4918371711698866
Regressão Logística;0.45;0.5009193993257738;0.6059314179796107;0.5484439224897241;6526;0.4652455977757183
Regressão Logística;0.46;0.5069556777741832;0.5809082483781279;0.541418329446316;6182;0.44072146574463533
Regressão Logística;0.47;0.5139007334129285;0.5584800741427247;0.535263812400071;5863;0.41797961075069506
Regressão Logística;0.48;0.5198621440232178;0.5312326227988878;0.5254858819215255;5513;0.3930277322306979
Regressão Logística;0.49;0.5249855296160525;0.5043558850787766;0.5144639818491208;5183;0.3695016753404149
Regressão Logística;0.5;0.5305492696975931;0.47803521779425395;0.5029251170046802;4861;0.3465459471020175
Regressão Logística;0.51;0.536745406824147;0.45486561631139943;0.4924250025082773;4572;0.32594282455264845
Regressão Logística;0.52;0.5399159663865546;0.42873030583873956;0.47794193615042874;4284;0.3054109930847651
Regressão Logística;0.53;0.5420816733067729;0.40352177942539386;0.4626500903198385;4016;0.28630498324659587
Regressão Logística;0.54;0.5490459553883364;0.37868396663577386;0.44822290478279947;3721;0.26527411420831254
Regressão Logística;0.55;0.551237766263673;0.35495829471733087;0.4318412447852069;3474;0.24766521708134312
Regressão Logística;0.56;0.5583896742470805;0.33679332715477295;0.4201641808301538;3254;0.23198117915448777
Regressão Logística;0.57;0.5678022712090849;0.31510658016682114;0.4052926451305281;2994;0.21344549796820417
Regressão Logística;0.58;0.5750995294969237;0.29453197405004633;0.38955626379014463;2763;0.19697725814500605
Regressão Logística;0.59;0.5754716981132075;0.27136237256719187;0.368812192971407;2544;0.1813645112996364
Regressão Logística;0.6;0.5830132309005548;0.25319740500463395;0.3530628069268545;2343;0.16703500392100948
Regressão Logística;0.61;0.589827344843677;0.23429101019462464;0.33536747147784557;2143;0.15277678762386826
Regressão Logística;0.62;0.6006191950464397;0.21575532900834105;0.3174689758625392;1938;0.1381621159192985
Regressão Logística;0.63;0.6039035591274398;0.19499536607970344;0.29480173742468824;1742;0.12418906394810009
Regressão Logística;0.64;0.6104314230521571;0.1757182576459685;0.27288428324697755;1553;0.11071504954730163
Regressão Logística;0.65;0.6238060249816312;0.15736793327154772;0.25133214920071045;1361;0.09702716190204605
Regressão Logística;0.66;0.6276595744680851;0.14216867469879518;0.2318271119842829;1222;0.0871177015755329
Regressão Logística;0.67;0.6295947219604147;0.12381835032437442;0.20693928128872366;1061;0.07563983745633421
